Restaurant,Month,Week No.,Day,Date,Review Title/URL,Review,Rating Score,Rating,Responded?,"Response 
Date","Days between 
response"
Bread Street Kitchen,Dec-15,Week 49,Tuesday,1/12/2015,"""No 'wow' factor""","Maybe it was raised expectations, or the fame of the restuarant, was not particularly 'wowed' by my experience at this place. First we were ushered to high bar chairs for what is supposed to be a fine-dining meal, we of course asked to be re-seated at normal dinning tables. Staff in charge of sitting guests could be more attentive as we have to descend a flights of stairs to re-enter the restaurant again - albeit with one of us needing assistance. The duck dish was a bit too tough due to the thickness of the portion served, the steaks (sirloin n ribeye were a bit too raw even for medium), however the sea trout was nicely cooked. The portions were enough. The pineapple dessert was refreshing, the others were so so. Our waiter was however most attentive n helpful throughout our meal. He was properly the saving grace. Maybe we expected more, so this one time suffice for us, considering the price we paid for the experience.",3-May,Average,Yes,7/12/2015,6
Bread Street Kitchen,Dec-15,Week 49,Wednesday,2/12/2015,"""****Unbelievably exceptional food****""","I cannot stress enough how good this restaurant of Mr Ramsay?s is. If you are planning a trip to Singapore you must book a reservation at this restaurant. We were lucky enough to have lunch here and ?.. It beat all my expectations. I am a foodie; I am Italian and i love food. So having the chance to eat at a Gordon Ramsay?s Restaurant was pretty exciting. The bread they serve you while you wait for your meals was fresh and a great variety. The butter to go with the bread was AMAZING, I have never tasted butter like that before, it was full of flavour and silky smooth. I ordered the Beef Burger and my partner ordered the pork belly. Hands down one of the best meals we have ever had. The beef patty was so flavoursome, tender and cooked to complete perfection, the bun was soft and had all the right condiments inside as for the chips they were crunchy on the outside and soft and fluffy on the inside. You can tell the food is made with love and of the highest quality. For a simple Burger and Chips Bread Street Kitchen you have out done yourself.",5-May,Excellent,Yes,7/12/2015,5
Bread Street Kitchen,Dec-15,Week 49,Thursday,3/12/2015,"""Nothing to rave about...""","Went there on Saturday around 16:00 to have dessert. Had to wait for a good 15mn to get a table set...with a few European managers who seemed a bit lost in their duties (I was visiting from the UK). Interesting as several tables were free...anyway, it was set in a lovely way...then we ordered, got some nice breads, and the desserts arrived. They were nice. All in all it was ok, a bit pretentious...",3-May,Average,Yes,7/12/2015,4
Adrift,Dec-15,Week 49,Saturday,5/12/2015,"""Swift service, but Adrift kitchen needs a lift""","Elegant dÇcor, extremely professional service - a rarity these days in Singapore. However, the food is disappointing - good but not brilliant, even the signature dishes like the crab melt or wagyu cheeseburger. I don't want to be insulting, but the burger was no better than the sliders we had in the VIP room at Cirque du Soleil! However, the dessert chef is a star; the signature French toast is yummy, as are many sorbets and ice creams. Reasonable pricing given the location.",4-May,Very Good,Yes,6/2/2016,63
Bread Street Kitchen,Dec-15,Week 49,Sunday,6/12/2015,"""First visit ""","We went here for the first time this past weekend. Showed up 30 mins before our lunch reservation but still got seated right away. Stuck to the dishes that should be good here - fish & chips, short rib burger - and we were not disappointed. Busy place and friendly staff. Would try again...",4-May,Very Good,Yes,7/12/2015,1
Bread Street Kitchen,Dec-15,Week 49,Sunday,6/12/2015,""" Bread Street""","Is a restaurant located in the shop space of Marina Bay Sands. It seems to worked famous chef. The store is very bright, good atmosphere with natural light, but I think it is better that there was a jacket because the air conditioning is firmly heard. It is cooking, but is delicious bread. I do not delicious bread in the middle. Singapore but is delicious! Indeed Bread Street !! hamburger. . French fries are delicious! Hamburger can choose doneness. It was a beautiful medium rare When you have hope in the medium rare. But it or because it was heard grilled steak meat I thought how is sand was better with a little more baked because it was Patty. . . Taste did not have much taste diluted. Atmosphere and think in total, but good taste, the price was not good enough.",2-May,Poor,No,,
Adrift,Dec-15,Week 50,Monday,7/12/2015,"""Over cooked Salmon""",We visited this place during the Resturant Week and had its 3-course set menu at $65(after GST and service). The food was completely uninspiring and the Sake Marinated Salmon was one of the worst I have had - a crime for reputable resturant to service over cooked dried salmon. Don't waste your time if you care for food taste and quality!,2-May,Poor,Yes,6/2/2016,61
Bread Street Kitchen,Dec-15,Week 50,Monday,7/12/2015,"""Over rated """,My daughter is a big fan of Ramsay and his junior master chef series so decided to bring her to dine at this restaurant. Frankly we find the food overrated. We ordered the Sunday roast which is not too bad and the other 2 dishes nothing much to wow about. It's my 2nd visit though the first was also disappointing.,3-May,Average,Yes,7/12/2015,0
Bread Street Kitchen,Dec-15,Week 50,Monday,7/12/2015,"""Consistently Excellent Food""","Been to Bread Street Kitchen several times and I must say, food is excellent and service is amazing! Seafood is always fresh, meats are done to perfection. It?s not cheap but it?s not amazing expensive as well. There have been mixed reviews about this place but our numerous experiences have always been good. There were time when we just walked in and they were very accommodating and managed to get us seats despite being crowded. Music can be a little loud but its funky and adds to the feel and design of the place. We will be back to try the complete menu. Tip: Book well in advance via the internet. Alternatively, try your luck and give them a ring during off peak hours, sometimes there are slots available.",5-May,Excellent,Yes,9/12/2015,2
Bread Street Kitchen,Dec-15,Week 50,Monday,7/12/2015,"""Cheaper than expected""","Popped over to Bread street during a break in he Grand Prix action. took a short while to get a seat as we hadn't booked and they were qute busy, so was impressed by how quickly we were seated.Had a coupe of cocktails and starters and mains. was surprised that this was cheaper than some of th trendy places in chinatown. Was expecting a gouging given the location, but was pleasantly surprised. Food was great too.",5-May,Excellent,Yes,9/12/2015,2
Bread Street Kitchen,Dec-15,Week 50,Tuesday,8/12/2015,"""Scrumptious food""","We sat outside overlooking the promenade, superb food, wines and service. Try the traditional fish and chips and lamb chops! Lucky to get a table as we hadn't made a booking. Lovely complimentary breads and with my hungry adult males they brought out more while waiting on our mains! Nice touch!",5-May,Excellent,Yes,11/12/2015,3
Bread Street Kitchen,Dec-15,Week 50,Thursday,10/12/2015,"""Top notch service and quality ingredients""","Bread Street Kitchen was very attentive during the reservation process, noting our specifications, and providing us seating that suited perfectly. From the confirmation call to the wait staff, attention to (personal) details really places the restaurant up there in terms of service. Despite BSK being a casual dining venue, and its location in Marina Bay Sands, I did not receive any snooty attitude at all, even from the caucasian staff. We also had a surprise sorbet with decoration to commemorate our special celebration there. Food wise, you can't knock a Gordon Ramsay brand. Take the unassuming 'traditional' Fish & Chips - the fish tasted like a cod, unlike any cheap fish used elsewhere for a deep-fried dish, it was meaty, with bite, and not flaky, definitely not lacking in texture and flavour, perhaps a tad too greasy. Batter was tasty. The only times I used the tartar sauce accompaniment was for the chips, and not the fish. My wife loved the wide-cut chips, but I didn't fancy it as much, as it got soft pretty quick (I do love double-fried shoestring fries). The smashed peas didn't do much for me, but it was easy to scoop up and eat I suppose. Downside is that the portion of fish was a bit small. The Dingley Dell Pork Belly was by far the best pork dish my wife has had all year. The meat was amazingly tender, flavourful and sweet without any 'porky' smell and the crackling was very crisp without any charred notes so common in roast pork. Perfectly salted as well, with a delicious apple dice and wholegrain mustard sauce on the side that really cut through the richness. Good portion size, and the complimentary bread basket and salted butter were excellent. And that Mac & Cheese classic. Heavenly. Again, the cheese is not your run of the mill cheese wiz. Rich, creamy and velvety cheese sauce blanketing the perfectly al dente macaroni. Well balanced so you get to indulge without feeling overly stuffed or guilty adding on a dessert to end off the meal. Hint of garlic adds taste interest to a simple dish. You will keep on eating it. Perhaps cos the macaroni was cut quite small. I think I over-ate on this. For dessert, we had the chocolate fondant. It was well baked with a good, slightly crisp crust that was easily breached with a tap of the spoon to reveal the deliciously molten, scaldingly hot interior. We gobbled it down despite it being steaming hot, the bittersweet chocolate offset by the mild mint ice cream was an irresistible combination. Exquisite experience - highly recommended.",5-May,Excellent,Yes,11/12/2015,1
Bread Street Kitchen,Dec-15,Week 50,Thursday,10/12/2015,"""Expect a beeline for celebrtiy restaurant""","Pop over unexpectedly for dinner at 7pm and it was full house without any reservation. Crawled my way back at 9pm and was in luck when there was a table for four. Ambience was good with views overlooking the promenade at street level. Ordered the Pork Belly, Risotto, Burger and Black Cod, Mac n Cheese and a bottle of wine. Thumbs up for the cod and MNC which was pretty good. Not forgetting spicy tune tartar. Rest were passable. Somehow, service was disappointing as the Caucasian service staff was pretty cold and we felt ""rushed"" with the order. The complimentary tartlets were too sweet to our liking. Worth a try if you are a fan of GR.",2-May,Poor,Yes,11/12/2015,1
Bread Street Kitchen,Dec-15,Week 50,Friday,11/12/2015,"""Excellent experience""","We went for lunch on a Monday - tried our luck at 11am as we did not have reservations. I tried the set lunch - it was a good combination of starter, main -smoked haddock and salmon fish cake- and desert- blue bake well tart - choices were given. Lovely food. Excellent value! Hubby tried Irish aged rib eye steak. The staff were very attentive and asked us how we found the food. When hubby gave feedback regarding steak being overdone, the staff was very apologetic and replaced it with a medium steak. Excellent service!",5-May,Excellent,Yes,11/12/2015,0
Bread Street Kitchen,Dec-15,Week 50,Friday,11/12/2015,"""Ridiculous wine prices""","When you see only a small fraction of the restaurant drinking wine on a Friday night, you know the wine prices are outrageous. The pricing of the wine is out of sync with the food pricing massively. The lowest price bottle is more than 3x a main course. The food is good with decent portions too.",3-May,Average,Yes,11/12/2015,0
Bread Street Kitchen,Dec-15,Week 50,Sunday,13/12/2015,"""Bar on Halloween - best bartenders ever!""",Alessio and Carlo are worth their weight in gold! Brilliantly clever cocktails delivered with professionalism and passion for their jobs!,5-May,Excellent,Yes,18/12/2015,5
Bread Street Kitchen,Dec-15,Week 50,Sunday,13/12/2015,"""Many better places.""","Ten people all found nothing good in any dish. Many left the burger or steaks. When you have a simple menu the execution has to be way better than this. A few bad dishes like the risotto(soup) , burger and none which excelled. Service was good and attentive. Prices as expected a bit high for the branded Chef. No need to go back.",3-May,Average,Yes,18/12/2015,5
Bread Street Kitchen,Dec-15,Week 50,Sunday,13/12/2015,"""Just Average""","Went to BSK Singapore for lunch last week. At least two out four of us are fans of Gordon Ramsay. Maybe our expectation was too high, but the BSK certainly did not impress us. We arrived pretty early, and ordered our food right away. The starters were served quickly. We really liked the Seared Scallops, but that's the only dish that everyone liked. The King Prawns were just so-so. For the mains, my BSK short rib burger was not bad, but my friend's roasted cod fish tasted like steamed fish, and the duck breast was pretty hard. We also shared a pork belly, the flavor was good, but the skin was too hard. For the dessert, the cheesecake has a strange texture, more like a pudding... Service was good at the beginning, but when the restaurant got busy, things slowed down, and one of our add-on order was forgotten. Some of my friends said they probably would not come back again.",3-May,Average,Yes,18/12/2015,5
Bread Street Kitchen,Dec-15,Week 51,Monday,14/12/2015,"""Nothing special at all""","We have lived around the corner from this restaurant since it opened and finally got around to trying it. Unfortunately the hype was not all it was cut out to be. I have dined at several of Ramsey's restaurants in other cities and I have never been disappointed. They are usually of the highest standard but Bread Street Kitchen failed to live up to the others. Having said that I should maybe have anticipated this as the price point for Singapore is quite low. I had the Rib eye and it was only $60. For Singapore that is very cheap, so to keep the prices low I'm sure the quality of the cut had to be compromised. The starters of Sea bass carpaccio and Pumpkin soup were also under seasoned. This restaurant is probably acceptable more for a business lunch than dinner. If you do go, stick to the classics like fish and chips which can be done well at the cheaper price. I would rather pay double the price and get the high quality I would expect from Gordon Ramsey than be disappointed, won't be going back to this restaurant but I will eat at some of his other establishments.",3-May,Average,Yes,18/12/2015,4
Bread Street Kitchen,Dec-15,Week 51,Monday,14/12/2015,"""So-so""","Disappointed with the food. I ordered the crab pasta, which was bland. There was not a lot of food choices either. The ambience is okay. The service was good. But food was what we came for. Maybe I expected too much. I left disappointed, unsatisfied with what I ate, and with a huge dent in my pocket.",3-May,Average,Yes,18/12/2015,4
Bread Street Kitchen,Dec-15,Week 51,Monday,14/12/2015,"""Tasty food great ambiance good service""","This restaurant and bar provides is well designed, staffed courteous and knowledgeable. The food is consistently good but I must say is not cheap.",4-May,Very Good,Yes,18/12/2015,4
Adrift,Dec-15,Week 51,Tuesday,15/12/2015,"""Beautiful presentation""","The meal was well presented, the staffs were very friendly, and the foods were great as well. However, we found the restaurant a little too dark at times and the service wasn't that fast (while we indicated that we were in a rush). Loved the combination of various seasonal products and nicely decorated seating areas.",4-May,Very Good,Yes,6/2/2016,53
Adrift,Dec-15,Week 51,Tuesday,15/12/2015,"""Dinner at Adrift""","Was here for a dinner. Had duck confit gyoza for starters and for mains, we had a spicy beef soup and a iberico pork chop. The restaurant seems to be modeled as a kind of tapas-y type of restaurant.. small dishes to go with drinks and not a place for full fledged dinner. The dishes were all that exciting to the palate and we left feeling meh-ish..",3-May,Average,Yes,6/2/2016,53
Bread Street Kitchen,Dec-15,Week 51,Tuesday,15/12/2015,"""Ramsay in Singapore - expect to pay handsomely""","My wife and I visited Ramsay's BSK at Marina Sands one Sunday lunchtime. The menu is quite reasonable and as many have written before, it's a mix of traditional British and local fare. This is a two storey restaurant and we were seated in the larger, busier, noisier section on L1. I would have preferred downstairs as it looks and feels a lot more intimate but for a Sunday brunch rather than an intimate dinner, it didn't really matter. The service throughout was very good. Attentive, present but not hanging around, they even managed that seemingly rare thing in local terms and provided the starters to start, the mains afterward with a nice break in between. A point many other restaurants have yet to learn. Now, food. We plumped for potted beef brisket with grain mustard, piccalilli and caraway crackers for me; seared scallops with carrot purÇe, bacon, apple and celery cress to start. Both were excellent with the scallops beautifully cooked. I could have done without the crackers as they seemed superfluous but a small grumble in a good start. Our mains were a Ramsay variation of Shepherd's Pie and an Artichoke Risotto. The pie had a lot to live up to, it has long been a family favourite, one cooked at home from a very early age, and when done well is a great hearty meal. It also had the distinction of costing over $40.00 so it had to be good. Hmmm, not quite to be frank. The pie arrived in a small cast iron dish. It was red hot which is fair enough but it was lacking depth. The lamb was superbly cooked, tender and juicy. I just don't understand why the potato was being rationed. A thin topping wasn't enough for a luxury pie. On the other hand, the risotto that destroyer of Masterchef contestants, was spot on. A good portion perfectly cooked, you can't ask for more. All this was washed down by an expensive water and a good but pricey bottle of Prosecco. So, we walk away from Ramsay's with the thought that it was ok, not fantastic but worth a visit if for no other reason than to say ""I have dined there"". No repeat visit for us I suspect as there is better in Singapore but no regret in going. The food around us looked good and we all know well before we go to a star chef's restaurant that we will pay handsomely.",3-May,Average,Yes,18/12/2015,3
Bread Street Kitchen,Dec-15,Week 51,Wednesday,16/12/2015,"""Scallops are fantastic!""","We dined here twice and the scallops were fantastic. We heard alot of negative feedback about Bread Street Kitchen when it was just opened. However, it did not disappoint us. All our orders came out right and delicious. We were given an indoor long table because the haze was bad even though we only had 3 persons. There were 3 other customers sitting at the other end of the table. In between was another empty table. The restaurant was not fully booked but the staff turned away some walk-in customers as they wanted to ensure that every table had its own privacy.",4-May,Very Good,Yes,23/12/2015,7
